Frame,InputVariance,OutputVariance,ReductionPercent
212,1883.68,67.47,96.42
213,1801.01,68.28,96.21
214,1771.44,64.60,96.35
215,1739.34,58.68,96.63
216,1702.45,60.65,96.44
217,1657.88,53.54,96.77
218,1653.12,52.19,96.84
219,1658.14,54.25,96.73
220,1672.71,54.17,96.76
221,1665.51,60.78,96.35
222,1654.47,62.03,96.25
223,1662.57,63.39,96.19
224,1660.55,61.74,96.28
225,1686.99,59.54,96.47
226,1735.99,56.91,96.72
227,1714.73,50.86,97.03
228,1717.93,50.51,97.06
229,1709.11,57.57,96.63
230,1705.04,56.29,96.70
231,1723.61,61.05,96.46
232,1763.84,60.52,96.57
233,1786.49,61.56,96.55
234,1775.41,66.68,96.24
235,1758.92,65.74,96.26
236,1753.72,65.70,96.25
237,1766.87,62.52,96.46
238,1815.82,57.17,96.85
239,1806.66,54.29,97.00
240,1795.29,50.69,97.18
241,2343.56,50.86,97.83
242,2301.30,49.95,97.83
243,2251.48,50.60,97.75
244,2219.20,51.02,97.70
245,2170.43,54.47,97.49
246,2139.16,51.34,97.60
247,2125.33,53.41,97.49
248,2119.08,53.16,97.49
249,2113.51,52.19,97.53
250,2096.24,50.89,97.57
251,2070.21,53.50,97.42
252,2056.32,58.99,97.13
253,2045.26,62.59,96.94
254,2040.59,60.45,97.04
255,2050.19,63.55,96.90
256,2038.68,65.04,96.81
257,2016.76,62.47,96.90
258,2007.27,58.37,97.09
259,1980.77,54.63,97.24
260,1972.12,52.27,97.35
261,1967.16,51.85,97.36
262,1966.09,56.21,97.14
263,1951.91,65.11,96.66
264,1939.94,63.13,96.75
265,1931.86,67.79,96.49
266,1923.34,66.02,96.57
267,1921.01,65.80,96.57
268,1937.31,69.23,96.43
269,1917.36,71.96,96.25
270,1895.25,65.84,96.53
271,1894.61,68.35,96.39
272,1863.62,68.53,96.32
273,1779.59,64.45,96.38
274,1753.99,60.36,96.56
275,1728.67,56.81,96.71
276,1708.46,57.34,96.64
277,1692.14,56.90,96.64
278,1681.26,56.49,96.64
279,1661.48,54.17,96.74
280,1667.15,53.20,96.81
281,1646.16,53.58,96.75
282,1632.20,48.85,97.01
283,1621.22,46.85,97.11
284,1614.19,45.99,97.15
285,1600.00,42.70,97.33
286,1617.75,43.76,97.30
287,1619.82,43.52,97.31
288,1613.47,41.53,97.43
289,1596.61,38.15,97.61
290,1594.75,37.62,97.64
291,1614.40,35.14,97.82
292,1651.62,37.25,97.74
293,1634.45,34.45,97.89
294,1633.81,33.89,97.93
295,1636.74,34.36,97.90
296,1629.97,34.68,97.87
297,1636.73,33.77,97.94
298,1680.05,35.01,97.92
